A77,,A79,,A84,
X,Y,X,Y,X,Y
-24.358343817315635,8.691957646629248,-22.301075592548166,12.66858863846608,-22.48802934183548,4.488688924396612
-24.304318920157627,14.11915044161421,-22.173018924102205,19.494523168783125,-22.00145800141261,10.13043350840847
-24.317878329273327,21.315490707257595,-21.992916614081473,26.100469017183876,-21.78240047587061,16.854658985787587
-24.170920087340168,30.265647922331553,-21.81279677158958,32.64356095646569,-21.634135709415652,24.448847868135587
-24.028636072719973,40.44260702409022,-21.658597184928766,38.92895186835984,-21.43570971762558,31.922836131901832
-23.870973535434857,49.843622978162756,-21.492007450989917,47.3865738794046,-21.164823687507727,39.20550906848319
-23.752851580946405,59.00628626692456,-21.33788320386233,53.94205701791273,-21.01116410095873,47.42680038124073
-23.62108783248554,70.29125669273678,-21.18377939458684,60.570809856193776,-20.878984630174838,55.00279156037715
-23.476399403903383,79.61354325600392,-21.029716461015546,67.3461020940207,-20.676034755126253,62.52849961221841
-23.303901426361055,90.18556649403376,-20.86283438564325,74.7556800661565,-20.446262369885364,72.25409448322263
-23.161212679746107,98.9115613946018,-20.721424686602987,80.3019090068119,-20.279208235850355,79.04684214952486
-23.072348495111395,103.36376250946094,-20.541445220763535,87.34825124510601,-20.08654865903646,87.22589563535449
-22.909472813147545,110.4934037080198,-20.348370568539018,94.03925938384774,-19.906560310078287,94.24039189302836
-22.778558527985727,119.17631714079658,-20.1685172196088,101.53773074173746,-19.71371381374517,101.74933890243791
-22.572584170899887,127.42294592548987,-19.949429038806613,108.15205711135407,-19.53401954276997,109.81810472906682
-22.399485286395073,132.5127956250759,-19.74349430228653,115.33057214139545,-19.366878120405193,116.2979237331689
-22.258670105103146,140.19037069352171,-19.56316832802653,121.13468169203603,-19.152189170569606,129.36531129986267
-22.074139994536615,149.55901522159618,-19.370024614563224,127.57810528971493,-19.19977129545018,122.90177445126568
-21.895591712666985,156.41147666702705,-19.17716222212292,135.03006475485662,-24.665362280134747,-1.7763568394002505e-15
-21.725275039855546,163.60955764864184,-19.061555311356948,139.89747147702747,,
-21.521933676110617,171.61423969745385,,,,
-21.3080177412774,179.82891910548594,,,,
-21.08944027301139,188.27414991730438,,,,
-20.922047050965535,193.8512670647268,,,,
-20.780767507266297,199.86410290295578,,,,
-20.621278982325048,207.15618254702434,,,,
-20.424123186822378,213.41542623272505,,,,
-20.234110151558355,220.21111905362608,,,,
-19.97017064013308,229.10160695764304,,,,
-19.77696268769543,235.31473383231017,,,,
-19.583752891843673,241.52125206738992,,,,
-19.339119910575718,249.7392869490464,,,,
-18.965500662524597,261.4506463221484,,,,
-18.759814436260054,269.5200706183015,,,,
-18.570446291561584,276.1872199262347,,,,
-18.378696817454035,282.30431628963083,,,,
-18.149732052215086,289.08959985015406,,,,
-17.900794414228486,295.9938976957362,,,,
-17.740370113318225,302.14983520950227,,,,
-17.51861274325408,308.06957694947215,,,,
-17.32983306037903,314.6277471757351,,,,
-17.117898334604547,321.79979723226717,,,,
-16.89462287230166,329.1719501910876,,,,
-16.763656267817147,334.88394584139263,,,,
