Depth (m),Temperature (Deg. C),Temperature uncertainty (Deg. C),,,,,
,,,,,,,
25,-4.7,0.5,,,,,
31,-5.9,0.1,,,,,
100,-12.4,0.5,,,,,
105,-12.9,0.1,,,,,
113,-13.1,0.3,,,,,
174,-12.8,0.5,,,,,
180,-13.5,0.1,,,,,
187,-13.9,0.3,,,,,
251,-14.8,0.5,,,,,
256,-15.6,0.1,,,,,
262,-16.4,0.3,,,,,
328,-17.9,0.5,,,,,
337,-18.9,0.3,,,,,
401,-19.8,0.5,,,,,
412,-20.3,0.3,,,,,
477,-20.2,0.5,,,,,
484,-21.6,0.3,,,,,
499,-20.1,0.1,,,,,
552,-20.9,0.5,,,,,
559,-21.7,0.3,,,,,
574,-20.6,0.1,,,,,
634,-21.5,0.3,,,,,
649,-19.6,0.1,,,,,
709,-19.4,0.3,,,,,
724,-16.0,0.1,,,,,
784,-7.3,0.3,,,,,
799,-17.0,0.1,,,,,
859,-10.8,0.3,,,,,
874,-9.2,0.1,,,,,
934,-0.8,0.3,,,,,
949,-1.0,0.1,,,,,
